id;date;from_seliste_id;to_seliste_id;exchange;value
98;2012-04-07;70;45;"Prêt de 'XX1' - N° 1 Hiver 2008";10
104;2012-04-07;47;82;"Prêt L'alimentation de la troisième médecine";10
103;2012-04-07;82;217;"Vente Raconte moi les dieux de l'Olympe";25
101;2012-04-07;82;47;"Prêt Le sabotage amoureux de Nathalie Nothomb";10
102;2012-04-07;82;87;"Vente Distraire les enfants par Ferrette";5
116;2012-04-08;43;81;"Prêt CD Gospel";10
117;2012-04-08;81;94;"3 Cours de yoga";90
113;2012-04-07;43;82;"Prêt CD Lambaréné";10
120;2012-04-08;43;70;"Prêt livres: "Chroniques de St Francisco"";10
119;2012-04-08;81;120;"3 Cours de yoga";90
121;2012-04-08;151;70;"prêt livre:"24 H de la vie d'une femme"Stephan Zveig";10
122;2012-04-08;43;70;"prêt BD:"SOS Bonheur"de Griffo et Van Hamme";10
123;2012-04-08;94;70;"prêt DVD:trilogie "Le seigneur des anneaux"";30
124;2012-04-08;121;70;"Prêt livre :"Mange ta soupe d'abord"";10
125;2012-04-08;179;70;"Prêt livres:"La cuisine saine des 4 saisons"Les desserts sains des 4 saisons"Le plat unique des 4 saisons"les céréales au menu"";40
126;2012-04-07;56;43;"Prêt d'un essai de Bourdieu";10
127;2012-04-19;11;70;"Prêt des tomes 2 à 8 de 'Golden City' - Pecqueur, Malfin et Schelle";35
128;2012-04-21;87;43;"Prêt d'une perceuse";10
129;2012-05-01;121;157;"Prêt du livre "Mange ta soupe d'abord"";10
130;2012-05-02;43;70;"Prêt 2 tomes Chroniques de SF";20
132;2012-05-04;178;81;"prêt de KAPLAS  ";50
133;2012-05-04;120;81;"prêt de legos";50
134;2012-05-04;179;81;"prêt de DUPLOS";50
135;2012-05-31;124;42;"prêt de DVD";10
136;2012-05-31;42;204;"livraison du panier de l'amap à domicile au mois de juin";75
137;2012-05-31;204;42;"cours de tricot";75
138;2012-06-12;124;210;"série DVD sur ecoute";10
139;2012-06-12;210;124;"serie DVD mad men 4";10
140;2012-06-12;94;80;"garde d'enfants";540
141;2012-07-10;214;42;"rhubarbe";15
142;2012-07-18;11;124;"Prêt de 'eXistenZ' - David Cronenberg";15
143;2012-07-21;11;180;"Prêt d'une échelle";150
